state,collection_date,Inpatient Beds Occupied Estimated (All Inpatient),Count LL (All Inpatient),Count UL (All Inpatient),Percentage of Inpatient Beds Occupied Estimated (All Inpatient),Percentage LL (All Inpatient),Percentage UL (All Inpatient),Total Inpatient Beds (All Inpatient),Total LL (All Inpatient),Total UL (All Inpatient),Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Count LL (COVID-19 Inpatient),Count UL (COVID-19 Inpatient),Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated (COVID-19 Inpatient),Percentage LL (COVID-19 Inpatient),Percentage UL (COVID-19 Inpatient),Total Inpatient Beds (COVID-19 Inpatient),Total LL (COVID-19 Inpatient),Total UL (COVID-19 Inpatient),Staffed Adult ICU Beds Occupied Estimated (ICU),Count LL (ICU),Count UL (ICU),Percentage of Staffed Adult ICU Beds Occupied Estimated (ICU),Percentage LL (ICU),Percentage UL (ICU),Total Staffed Adult ICU Beds (ICU),Total LL (ICU),Total UL (ICU),geocoded_state
CW,2020/11/22,"494,452","493,387","495,517",69.94,69.76,70.12,"707,282","706,797","707,767","90,290","90,207","90,374",12.83,12.75,12.91,"707,282","706,797","707,767","63,161","63,120","63,203",73.66,73.51,73.8,"85,638","85,554","85,723",
CW,2020/11/23,"500,429","499,381","501,478",70.63,70.46,70.81,"708,789","708,293","709,284","92,945","92,870","93,020",13.18,13.1,13.25,"708,789","708,293","709,284","63,270","63,230","63,310",73.83,73.68,73.97,"85,590","85,502","85,678",
CW,2020/11/24,"516,483","515,496","517,471",72.86,72.77,72.95,"709,036","708,744","709,329","95,200","95,141","95,259",13.49,13.44,13.54,"709,036","708,744","709,329","65,423","65,409","65,438",75.92,75.86,75.98,"86,061","85,983","86,139",
CW,2020/11/25,"515,324","514,323","516,325",72.59,72.39,72.78,"710,126","709,554","710,698","95,363","95,296","95,430",13.5,13.42,13.57,"710,126","709,554","710,698","65,203","65,171","65,235",75.61,75.49,75.72,"86,124","86,041","86,207",
CW,2020/11/26,"486,895","485,969","487,822",68.92,68.82,69.02,"706,755","706,431","707,079","94,144","94,066","94,221",13.39,13.32,13.45,"706,755","706,431","707,079","63,871","63,814","63,928",74.29,74.1,74.48,"85,858","85,759","85,958",
CW,2020/11/27,"473,217","472,291","474,142",67.39,67.27,67.5,"702,539","702,179","702,900","95,375","95,313","95,438",13.64,13.58,13.7,"702,539","702,179","702,900","62,507","62,457","62,558",72.97,72.79,73.15,"85,542","85,444","85,639",
CW,2020/11/28,"476,286","475,318","477,253",67.86,67.64,68.07,"702,123","701,548","702,699","97,555","97,488","97,622",13.96,13.88,14.04,"702,123","701,548","702,699","62,965","62,910","63,019",73.18,72.98,73.38,"85,930","85,828","86,031",
CW,2020/11/29,"481,157","480,257","482,057",68.52,68.35,68.7,"702,438","701,880","702,996","100,095","100,019","100,170",14.32,14.24,14.4,"702,438","701,880","702,996","63,168","63,117","63,219",73.5,73.3,73.69,"85,820","85,717","85,922",
CW,2020/11/30,"496,067","495,143","496,991",70.38,70.17,70.58,"705,136","704,612","705,660","103,289","103,215","103,364",14.72,14.64,14.8,"705,136","704,612","705,660","63,941","63,871","64,011",74.41,74.16,74.66,"85,814","85,706","85,923",
CW,2020/12/01,"523,906","523,067","524,746",73.7,73.55,73.85,"711,103","710,682","711,523","105,768","105,707","105,830",14.95,14.88,15.01,"711,103","710,682","711,523","66,406","66,369","66,444",76.86,76.73,77,"86,288","86,203","86,373",
CW,2020/12/02,"535,195","534,350","536,040",75.12,74.95,75.29,"712,676","712,220","713,133","106,011","105,972","106,050",14.95,14.89,15,"712,676","712,220","713,133","67,046","66,994","67,099",77.37,77.21,77.53,"86,550","86,469","86,631",
CW,2020/12/03,"536,784","535,993","537,576",75.2,75.09,75.31,"714,006","713,730","714,282","105,470","105,426","105,514",14.84,14.8,14.89,"714,006","713,730","714,282","67,438","67,411","67,464",77.68,77.59,77.77,"86,706","86,631","86,782",
CW,2020/12/04,"535,213","534,432","535,995",74.99,74.73,75.25,"713,716","713,472","713,961","105,349","105,308","105,391",14.83,14.79,14.87,"713,716","713,472","713,961","67,455","67,394","67,515",77.56,77.34,77.77,"86,971","86,899","87,043",
CW,2020/12/05,"518,473","517,685","519,260",73.08,72.81,73.36,"709,449","709,068","709,830","104,770","104,689","104,851",14.84,14.77,14.91,"709,449","709,068","709,830","66,824","66,768","66,881",76.98,76.76,77.2,"86,809","86,728","86,890",
CW,2020/12/06,"505,057","504,298","505,816",71.58,71.32,71.84,"705,572","705,278","705,867","106,072","106,019","106,124",15.11,15.06,15.16,"705,572","705,278","705,867","65,623","65,565","65,680",75.91,75.67,76.15,"86,448","86,358","86,538",
CW,2020/12/07,"510,913","510,153","511,674",72.36,72.08,72.65,"706,048","705,500","706,597","109,057","108,979","109,135",15.52,15.44,15.6,"706,048","705,500","706,597","65,770","65,724","65,816",76.3,76.05,76.54,"86,201","86,096","86,305",
CW,2020/12/08,"532,735","531,882","533,587",75.04,74.71,75.36,"709,978","709,269","710,686","111,415","111,271","111,558",15.77,15.64,15.9,"709,978","709,269","710,686","68,008","67,923","68,093",78.16,77.83,78.49,"87,013","86,893","87,134",
CW,2020/12/09,"541,148","540,389","541,906",76.1,75.83,76.37,"711,122","710,625","711,619","111,884","111,815","111,954",15.81,15.74,15.88,"711,122","710,625","711,619","68,540","68,496","68,585",79.05,78.87,79.24,"86,701","86,630","86,771",
CW,2020/12/10,"541,397","540,842","541,951",76,75.81,76.18,"712,396","712,145","712,646","112,730","112,661","112,799",15.9,15.85,15.96,"712,396","712,145","712,646","68,631","68,602","68,660",79.15,79.02,79.28,"86,712","86,659","86,766",
CW,2020/12/11,"536,887","534,853","538,922",75.03,74.15,75.91,"715,554","713,128","717,980","112,877","112,545","113,208",15.85,15.49,16.21,"715,554","713,128","717,980","68,447","68,219","68,676",78.53,77.74,79.32,"87,158","86,902","87,413",
CW,2020/12/12,"523,644","520,286","527,002",73.26,71.76,74.76,"714,741","710,475","719,007","112,483","111,875","113,091",15.82,15.18,16.46,"714,741","710,475","719,007","67,516","67,101","67,931",77.68,76.17,79.18,"86,919","86,405","87,433",
AL,2020/11/12,"11,097","11,084","11,110",78.47,78.12,78.82,"14,141","14,118","14,164","1,317","1,313","1,321",9.31,9.12,9.5,"14,141","14,118","14,164","1,319","1,319","1,319",87.52,87.52,87.52,"1,507","1,507","1,507",POINT (-86.844516 32.756889)
AZ,2020/11/12,"9,886","9,868","9,904",73.36,72.75,73.97,"13,476","13,434","13,518","1,370","1,364","1,376",10.18,9.84,10.52,"13,476","13,434","13,518","1,208","1,205","1,211",62.92,62.46,63.38,"1,920","1,916","1,924",POINT (-111.664616 34.293239)
CA,2020/11/12,"45,275","45,239","45,311",72.42,72.32,72.51,"62,521","62,471","62,571","4,169","4,154","4,184",6.68,6.52,6.84,"62,521","62,471","62,571","5,298","5,294","5,302",72.95,72.78,73.11,"7,263","7,258","7,268",POINT (-119.662127 37.211164)
CT,2020/11/12,"6,220","6,220","6,220",75.94,75.94,75.94,"8,191","8,191","8,191",846,846,846,10.33,10.33,10.33,"8,191","8,191","8,191",576,576,576,54.6,54.6,54.6,"1,055","1,055","1,055",POINT (-72.738288 41.575155)
DC,2020/11/12,"2,489","2,489","2,489",83.95,83.95,83.95,"2,965","2,965","2,965",189,189,189,6.37,6.37,6.37,"2,965","2,965","2,965",283,283,283,76.69,76.69,76.69,369,369,369,POINT (-77.016275 38.904785)
GA,2020/11/12,"15,466","15,457","15,475",81.77,81.62,81.93,"18,913","18,901","18,925","2,044","2,044","2,044",10.81,10.77,10.85,"18,913","18,901","18,925","2,250","2,250","2,250",84.81,84.81,84.81,"2,653","2,653","2,653",POINT (-83.426574 32.638481)
ID,2020/11/12,"1,940","1,940","1,940",55.05,55.05,55.05,"3,524","3,524","3,524",385,385,385,10.93,10.93,10.93,"3,524","3,524","3,524",192,192,192,65.31,65.31,65.31,294,294,294,POINT (-114.659366 44.389073)
IN,2020/11/12,"11,536","11,536","11,536",70.34,70.34,70.34,"16,400","16,400","16,400","2,555","2,555","2,555",15.58,15.58,15.58,"16,400","16,400","16,400","1,650","1,650","1,650",76.39,76.39,76.39,"2,160","2,156","2,164",POINT (-86.2818 39.919991)
KS,2020/11/12,"4,869","4,864","4,874",63.84,63.64,64.04,"7,627","7,612","7,642",938,934,942,12.3,11.98,12.62,"7,627","7,612","7,642",626,626,626,80.67,80.67,80.67,776,776,776,POINT (-98.38018 38.484729)
LA,2020/11/12,"8,926","8,926","8,926",69.64,69.64,69.64,"12,817","12,817","12,817",675,660,690,5.37,5.37,5.37,"12,817","12,817","12,817","1,317","1,317","1,317",72.09,72.09,72.09,"1,827","1,827","1,827",POINT (-91.840238 30.921314)
MD,2020/11/12,"8,484","8,484","8,484",83.57,83.57,83.57,"10,152","10,152","10,152","1,246","1,246","1,246",12.27,12.27,12.27,"10,152","10,152","10,152","1,010","1,010","1,010",76.63,76.63,76.63,"1,318","1,318","1,318",POINT (-76.687282 38.946466)
MI,2020/11/12,"17,352","17,314","17,390",79.31,78.78,79.83,"21,880","21,837","21,923","3,334","3,333","3,335",15.24,15.08,15.39,"21,880","21,837","21,923","2,164","2,164","2,164",82.5,82.5,82.5,"2,623","2,623","2,623",POINT (-85.730977 44.874798)
AL,2020/11/13,"10,976","10,963","10,988",77.19,76.85,77.54,"14,218","14,195","14,241","1,330","1,311","1,350",9.36,8.48,10.24,"14,218","14,195","14,241","1,286","1,283","1,289",86.72,86.12,87.31,"1,483","1,479","1,487",POINT (-86.844516 32.756889)
AZ,2020/11/13,"9,869","9,856","9,882",73.38,73.38,73.38,"13,450","13,450","13,450","1,463","1,454","1,472",10.89,10.89,10.89,"13,450","13,450","13,450","1,222","1,222","1,222",63.58,63.58,63.58,"1,922","1,922","1,922",POINT (-111.664616 34.293239)
CA,2020/11/13,"45,382","45,352","45,412",72.5,72.5,72.5,"62,598","62,554","62,642","4,250","4,235","4,264",6.8,6.8,6.8,"62,598","62,554","62,642","5,292","5,290","5,295",72.83,72.83,72.83,"7,267","7,267","7,267",POINT (-119.662127 37.211164)
CT,2020/11/13,"6,188","6,188","6,188",75.54,75.54,75.54,"8,192","8,135","8,249",849,849,849,10.36,10.36,10.36,"8,192","8,135","8,249",565,565,565,53.55,53.55,53.55,"1,055","1,055","1,055",POINT (-72.738288 41.575155)
DC,2020/11/13,"2,466","2,466","2,466",83.76,83.76,83.76,"2,944","2,944","2,944",195,195,195,6.62,6.62,6.62,"2,944","2,944","2,944",283,283,283,76.49,76.49,76.49,370,370,370,POINT (-77.016275 38.904785)
